Card Name,Card Description,Labels,Checklist,Checklist item
"M - See product details","As a customerI want to be able to see the specific products detailsSo i can be sure it is the right product for me‌Storypoints - **M**","",,
,,,"Tasks","Create a product details page"
,,,,"Add link to product details on products in product page"
,,,"Acceptance Criteria","Large image of the product"
,,,,"Description of product"
,,,,"Button "Tilføj til kurv""
,,,,"Other versions links to other product page (different versions of same product is created as individual products)"
,,,,"Change amount field"
,,,,"Back to product catalog button"
"M - Customer account sign up","As a customerI want to sign up and create an accountFor the purpose of in the future reduce amount of times i have to enter my details‌Storypoints - **M**","",,
,,,"Acceptance Criteria","Visitors can enter sign up page"
,,,,"Users signed in can not enter sign up page"
,,,,"Visitors who attempt to sign up has an account created on the server"
,,,"Tasks","Sign up page (med form)"
,,,,"Make connection to "opret bruger" button on navbar"
"XS - Customer account sign up confirmation","As a customerI want to get a confirmation when i registerBecause I want to know if i have done it right (or if someone uses my email)Storypoints - **XS**","",,
,,,"Tasks","Confirmation to customer (email if possible)"
,,,,"Signup successful message"
,,,"Acceptance Criteria","Email is sent (if possible)"
,,,,"When the customer successfully signs up a success message, on modal or different page, is shown"
,,,,"If something goes wrong (wrong email, name ect) an error message is shown"
"S - Sign in, sign out","As a customer i want to loginSo i won't have to enter my details againWith the purpose of not entering my details redundantlyStorypoints - S","",,
,,,"Acceptance Criteria","User can log in"
,,,,"User can log out"
,,,"Tasks","Login using account username and password"
,,,,"Logout from the webshop"
"XL - Add to basket","As a UserI want to add a product to my basketIn order to compile my orderStorypoints - **XL**","",,
,,,"Tasks","Shows all products in the basket"
,,,,"Save orderlines somewhere so multiple users do not interfere with eachother"
,,,"Acceptance Criteria","See all order lines"
,,,,"Only see orderlines for YOUR OWN ORDER"
"S - Basket not available, when visitor","As ownerI want the customer to be logged in to have access to the basketso I can avoid anonymous purchasesStorypoints - **S**","",,
,,,"Acceptance Criteria","Given a visitor wants to add products to basket, when not logged in, then they will be prompted to log in."
,,,"Tasks","Redirect to log in when pushing the basket button "
,,,,"Redirect to log in when trying to add a product to basket"
"L - Check out (orders)","As a customerI want to create a order from my basketin order to purchase the productsStorypoints - **L**","",,
,,,"Tasks","A Basket will be converted to an Order object"
,,,"Acceptance Criteria","Final order is added to the database"
,,,,"Send confirmation when order is added"
,,,,"Errors... lack of connection somewhere in communication line"
,,,,"Given that a basket is converted to Order, when purchasing the order, then the Order correctly reflects the basket"
"M - Admin create user","As an AdminI want to be able to create a new userin order to manage the websiteStorypoints - **M**","",,
,,,"Acceptance Criteria","Constraints"
,,,,"Given that an Admin creates user, when all necessary information and roles has been filled out, then the user is correctly created "
,,,,"Admin is able to navigate to the "opret bruger" page"
,,,,"Given a user is created successfully, when an Admin has created a user, then the system will notify the Admin"
,,,"Tasks","A user create page with appropriate input fields"
"M - Employee all orders view page","As an employeeI want to be able to see all ordersSo i can get an overviewStorypoints - **M**","",,
,,,"Acceptance Criteria","Given an employee enters page, when wanting to view all orders, then all orders that are not more than a week old is displayed"
,,,,"Only for admin and employees"
,,,,"Can navigate to page"
,,,"Tasks","Create a see all orders-page"
,,,,"Page displays all orders from the last week as a standard"
,,,,"Limit page to employees"
"M - Employee review order","As a employeeI want to review new ordersSo I can accept or deny the orderStorypoints - M","",,
,,,"Acceptance Criteria","Given that a order is accepted, when the employee presses "bekræft", then the order status is updated to "Approved""
,,,,"Given that a order is denied, when the employee presses "Afvis", then the order status is changed to "Denied""
,,,,"Given that an order is either changed approved or denied, when an order is reviewed, then the customer can see the status update"
,,,,"An appropiate email, "Fuck you", when denying orders in bulk from same "customer" (nice to have)"
,,,"Tasks","Make "Bekræft" button"
,,,,"When "Bekræft" button is pressed, the order status is changed and the customer can see the order has been confirmed"
,,,,"Make "Afvis" button"
,,,,"When "Afvis" button is pressed, the order status is changed and the customer can see the order has been denied"
"S - Assign employee to an order","As an employeeI want to assign an order to myselfSo the responsibility for an order is divided.Storypoints - **S**","",,
,,,"Tasks","An employee can update the status of an order to in progress and mark it as "theirs""
,,,"Acceptance Criteria","Only 1 can be assigned at a time per order"
,,,,"You can take an already assigned order"
"S - Employee completes an order","As an employeeI want to mark an order as ready (for pickup) and completed (picked up by customer)so orders can be easily managedStorypoints - **S**","",,
,,,"Acceptance Criteria","Status is colour coded, and has text according to the colour"
,,,,"The status is changed when an employee tries to change the status"
,,,"Tasks","Make the order change status to ready when the "klar til levering" button is clicked"
,,,,"Make the order change status to completed when the "udleveret" button is clicked"
,,,,"Make the order change color when the status is changed"
"Update and delete (UD) in basket","As a UserI want to change amount (update and delete) a product in my basketIn order to compile my orderStorypoints - **xx**","",,
,,,"Acceptance Criteria","Consider arimethic overflow (value goes to below zero when adding absurd amounts of product)"
,,,,"Given that an amount hits zero or below, when changing amount in the basket, then the product will be removed"
,,,"Tasks","Change amount of exsisting product in Basket"
"Customer order update","As a customeri want to get status updates on my orderso i can see the progressStorypoints - **xx**","",,
,,,"Tasks","Send updates as an email, when the order status changes"
,,,,"Option to not get status notifications during check out process"
,,,"Acceptance Criteria","Given an order status changes, when an employee updates order, then an email is sent successfully."
,,,,"Given a customer doesn't want to get notifications, when having sent an order, then an email will not be sent."
"Put content onto the index page","As a userI want to be met with a nice index page when i visit the shopSo i can be inspired for my purchase‌Storypoints - **xx**","",,
,,,"Tasks","Implement the design from the paper mockup"
,,,"Acceptance Criteria","Images a shown correctly"
,,,,"Links to products work correctly"
"User profile page","As a userI would like to view my account detailsBecause i want to check whether i agree with the current detailsStorypoints - **xx**","",,
,,,"Tasks","Profile details page"
,,,,"Profile details has same laout as update profile details page"
,,,,"Add "Opdater" button which moves the user to the update profile details page"
,,,"Acceptance Criteria","Only user who are logged in can enter this page"
,,,,"User can only see their own details"
,,,,"When i enter the page all my details are displayed"
,,,,"Details can not be changed on this page"
"Customer view orders page","As a customerI want to be able to see all my ordersIn order to see my current order(s) and to know what i have ordered in the past‌Storypoints - **xx**","",,
,,,"Acceptance Criteria","Customer can navigate to the "mine ordrer" page from the profile page"
,,,,"Customer can see their current order(s) and old orders on the page"
,,,,"Orders need to be shown with the newest order first"
,,,,"Show the 20? newest orders, customer can push a "næste side" button if they want to see more orders"
,,,"Tasks","Create "mine ordrer" page"
,,,,"Make it possible to navigate to the page from the profile page"
"Customer update profile","As a customerI want to be able to update my profileIn order to change my info if something changes‌Storypoints - **xx**","",,
,,,"Acceptance Criteria","Customer can navigate to the "opdater profil" page"
,,,,"Customer can fill out the form with new info"
,,,,"Customer gets a succes message if the profile is updated"
,,,,"Customer gets an error message if something goes wrong"
,,,,"Email cannot be updated by customer"
,,,,"Update profile page has the same design as the profile page"
,,,,"The update profile form has all the original info in the form"
,,,"Tasks","Make update profile page (form)"
,,,,"Make "din profil er opdateret" message"
,,,,"Make error messages if info in form is against restrictions"
"Admin show all users","As an adminI want to be able to see all usersIn order to manage the website‌Storypoints - **xx**","",,
,,,"Tasks","Add link to "vis brugere" page from navbar"
,,,,"Create "Vis brugere" page"
,,,,"Filters and sorts on roles and name"
,,,"Acceptance Criteria","Given when an Admin needs an overview of users, when accessing the "Vis Brugere" page, then the Admin will see all users"
,,,,"Page take less than 10 seconds to fully load"
,,,,"Can successfully navigate to "vis bruger" page"
,,,,"Filters and sort work"
"Admin update user","As an AdminI want to be able to update an existing userIn order to manage the websiteStorypoints - **xx**","",,
,,,"Acceptance Criteria","Correct user is updated"
,,,,"Admin can navigate to "Administrer bruger" page from the the "vis brugere" page"
,,,,"Success or error message shown"
,,,"Tasks","Administrer button on all users in see all users"
,,,,"Create update page"
,,,,"Make success and error messages"
"Admin deactivate/delete user","As an adminI want to be able to delete a userIn order to manage employees, undertakers and customersStorypoints - **xx**","",,
,,,"Tasks","Choose a user to delete"
,,,,"Set the users status to inactive"
,,,,"Make "are you sure" page before the user is deleted"
,,,,"Success and error messages"
,,,"Acceptance Criteria","The admin can navigate to "slet bruger" from the "administrer bruger" page"
,,,,"The right user is set to inactive"
,,,,"Success or error message shown"
"Employee/Admin manage product","As an employeeI want to update a productin order to manage product inventoryStorypoints - **xx**","",,
,,,"Tasks","Make "Opdater produkt" page (form)"
,,,,"Add a pencil icon to every product only visible when logged in as employee or admin"
,,,,"Success or error message"
,,,,"A product can be disabled"
,,,"Acceptance Criteria","You can navigate to the "Opdater produkt" page from the pencil icon on the product page"
,,,,"Given an employee wants to update a product, when they have successfully filled the updated information, then an confirmation message is displayed"
,,,,"The update icon is only visible when logged in as employee or admin"
,,,,"Given an employee wants to update a product, when they have unsuccessfully filled the updated information, then an error message is displayed"
,,,,"The correct product gets updated"
"Employee/Admin create product","As an employee/adminI want to be able to create a new productIn order to keep the product page updated with new productsStorypoints - **xx**","",,
,,,"Acceptance Criteria","Product is successfully created"
,,,,"The picture is saved in root/database? - Database is recommend when we have multiple razorpage servers"
,,,,"Given an employee is on the "Opret produkt" page, when the employee has not correctly filled out information for a product, then they get an error message"
,,,,"Given an employee is on the "Opret produkt" page, when the employee has correctly filled out information, then they get a success message"
,,,"Tasks",""Opret produkt" button"
,,,,"Product form page with file input"
,,,,"Recommend image dimensions"
,,,,"Make success/error messages"
"Employee/Admin disable product","As an employee/adminI want to be able to disable a productIn order to remove old products from the product page‌Storypoints - **xx**","",,
,,,"Tasks","Add "Disabled" bool"
,,,,"Success or error message"
,,,,"Make "are you sure" page before the product is disabled"
,,,"Acceptance Criteria","The correct product is disabled"
,,,,"Is able to navigate to the disable product page from the "administrer produkt" page"
,,,,"Success and error messages work"
"Order page filter and sort","As an EmployeeI want to filter and sort in the orders,so I can have an overview of orders that are due or are my responsibilityStorypoints - **xx**","",,
,,,"Acceptance Criteria","Given that an employee sorts or filters, when interacting with the All Orders page, then the correct filters and sorts are applied"
,,,"Tasks","Sort by due date"
,,,,"Filter by due date"
,,,,"Sort by employee ID"
,,,,"Filter by employee ID"
,,,,"Filter by status"
,,,,"Sort by status"
,,,,"The default view is all orders, no older than 1 week"
"Product page filter","As a customerI want to be able to filter the products on the product pageSo i can find the right product easily‌Storypoints - **xx**","",,
,,,"Tasks","Filter by price"
,,,,"Filter by colour"
,,,,"Sort by name"
,,,,"Sort by price"
,,,,"Filter by keyword (save this for later)"
,,,,"Add design to product catalog"
,,,,""Filtrer og sorter" button"
,,,"Acceptance Criteria","Filter is persistent"
,,,,"Sort is persistent"
,,,,"Buttons are visible and working"
"Employee gets notification on new order","As an employeeI want to receive a notification from the system when a new order is submittedSo I can expedited the orderStorypoints - **xx**","",,
,,,"Tasks","New orders are in a different color"
,,,,"Badge counter for pending orders placed on the button link"
"Undertaker check out","As an undertakerI want to be able to choose a delivery location and timeIn order to conduct my businessStorypoints - **xx**","",,
,,,"Tasks","If account is undertaker, redirect to undertaker check out flow"
,,,,"Delivery page (form)"
,,,,"Success or error message"
,,,"Acceptance Criteria","Common customers can not enter undertaker check out flow"
,,,,"Input constraint on delivery address and deceased name"
,,,,"Order WITH delivery is successfully created and added to database"
,,,,"Success and error messages work"
"Employee see and reenable disabled products","As an employeeI want to be able to see disabled products and reenableIn order to manage product catalogStorypoints - **xx**","",,
,,,"Tasks","See disabled button on product sides"
,,,,"Reenable button on disabled products"
,,,"Acceptance Criteria",""Se udgåede produkter" button works"
,,,,"reenable button reenables correct product"
,,,,"See disabled product only visable when logged in as employee or admin"
,,,,"Disabled products look different from normal products (grey coloured?)"
"Basket product count badge","As a customerI would like to see the amount of products in the basket without being on the basket pageBecause i'm lazyStorypoints - **xx**","",,
,,,"Tasks","Add a badge to a basket"
,,,"Acceptance Criteria","Badge is red"
,,,,"Badge is placed in bottom right corner of the button"
,,,,"Badge counts amount of orderlines correct"
"Website edit icon everywhere","As an employee/adminI want to be able to edit the static elements on the websiteIn order to update themStorypoints - **xx**","",,
,,,"Acceptance Criteria","Changes gets saved to the database (somehow)"
,,,,"Changes are immediate (no double confirm)"
,,,"Tasks","Edit icon next to static text"
,,,,"Edit icon next to static images"
,,,,"Only visible when logged in as employee or admin"
,,,,"When editing a save button appear"
,,,,"Make changes persistent"
"Extra nav bar on profile pages","As a customerI want to be able to easily navigate my profile pagesSo the UX feels smooth and unhinderedStorypoints - **xx**","",,
,,,"Acceptance Criteria","Links to "Profil", "Mine ordrer", "Logout""
,,,,"Only visable when on a cutomer profil pages"
,,,,"Only visable when on a cutomer profil pages"
,,,"Tasks","Extra nav bar (either on the side of the page or below the top navigation bar)"
"Search bar logic","As a customerI want to search for products by textBecause im fairly sure of what i wantStorypoints - **xx**","",,
,,,"Acceptance Criteria","If search bar is empty do nothing"
,,,,"If search bar is not empty begin looking for all products which matches the entered string somehow"
,,,,"Return the right result"
,,,,"Shown error when empty result"
,,,"Tasks","Query in product name from input"
,,,,"Error message"
"Search result page","As a userI want to be able to see my search resultsIn order to be able to choose my productStorypoints - **xx**","",,
,,,"Acceptance Criteria","A search redirects to result page"
,,,,"Correct products are displayed"
,,,"Tasks","Create search result page in same design as product pages"
,,,,"Display search result"
"User search result sort/filter","As a userI want to be able to sort and filter the given search results, after a product searchSo i better can find, what I am searching forStorypoints - **xx**","",,
,,,"Acceptance Criteria","Given a user has queried a search, when the search results has been displayed, then the user should be able to filter and sort the result"
,,,"Tasks","Sort by Name, Price etc."
,,,,"Filter further on Name, Price etc."
"Allow visitors without account to create orders","As a customerI want to make orders without making an accountI because i want to limit the amunt of accounts i haveStorypoints - **xx**","",,
,,,"Acceptance Criteria","Can make an order without being signed in"
"Database connection is lost","Storypoints - **xx**","",,
,,,"Tasks","Display error message to webpage visitors when connection to database is lost"
"Mobile friendly design","As a customerI want to be able to navigate the website from multiple devices with different screen sizeIn order to access the services easilyStorypoints - **xx**","",,
,,,"Acceptance Criteria","Website does not look worse on a smaller or larger screen than the screen it was initially designed for"
,,,"Tasks","Make the pages scalable to different devices"
"Kunde - Produktgennemsyn","Som kunde ønsker jeg at kunne se butikkens portefølje i kategorier med det formål bedst at kunne vælge det produkt der opfylder mit behov","3 (yellow)",,
,,,"Tasks","Zero of the money"
,,,,"One of the money"
,,,,"Two for the show"
,,,"Acceptance Criteria","Three to get ready"
,,,"Listcheck","Go cat go"
"Kunde - Produktgennemsyn","Som kunde ønsker jeg at kunne se butikkens portefølje i kategorier med det formål bedst at kunne vælge det produkt der opfylder mit behov","3 (yellow)",,
,,,"Tasks","One of the money"
,,,,"Two for the show"
,,,"AC","Three to get ready"
,,,"Listcheck","Go cat go"
"Kunde - Produktgennemsyn","Som kunde ønsker jeg at kunne se butikkens portefølje i kategorier med det formål bedst at kunne vælge det produkt der opfylder mit behov","3 (yellow)",,
,,,"Tasks","One of the money"
,,,,"Two for the show"
,,,"Acceptance Criteria","Three to get ready"
,,,"Listcheck","Go cat go"
"Example Card Name","This is card desc","3 (yellow)",,
,,,"Checklist","One of the money"
,,,,"Two for the show"
,,,"Listcheck","Three to get ready"
,,,,"Go cat go"
"","","",,
"Example Card Name","This is card desc","3 (yellow)",,
,,,"Checklist","One of the money"
,,,,"Two for the show"
,,,,"Three to get ready"
,,,,"Go cat go"
"Example Card Name","This is card desc","",,
,,,"Checklist","One of the money"
,,,,"Two for the show"
,,,,"Three to get ready"
,,,,"Go cat go"
"1. User Story: Kunde - Produktgennemsyn,"Som kunde, Ønsker jeg at kunne se butikkens portefølje i kategorier, Med det formål bedst at kunne vælge det produkt, der opfylder mit behov.",3 (yellow),,,,,Tasks,"Implementer Razor Page, der kan fremvise alle produkter i en udvalgt kategori.",Opgave 2.,,,Acceptance Criteria,"Givet at en kunde vil se en bestemt produktkategori, når de leder efter et produkt der opfylder deres behov, så får de en tilsvarende afgrænset visning af produktkataloget.",,","","",,
"1. User Story: Kunde - Produktgennemsyn","Som kunde, Ønsker jeg at kunne se butikkens portefølje i kategorier, Med det formål bedst at kunne vælge det produkt, der opfylder mit behov.","3 (yellow)",,
"Kunde - Produktgennemsyn","Som kunde ønsker jeg at kunne se butikkens portefølje i kategorier med det formål bedst at kunne vælge det produkt der opfylder mit behov","3 (yellow)",,
"1. User Story: Kunde - Produktgennemsyn","Som kunde, Ønsker jeg at kunne se butikkens portefølje i kategorier, Med det formål bedst at kunne vælge det produkt, der opfylder mit behov.","3 (yellow)",,
,,,"Acceptance Criteria","Givet at en kunde vil se en bestemt produktkategori, når de leder efter et produkt der opfylder deres behov, så får de en tilsvarende afgrænset visning af produktkataloget., Givet at en kunde vil se en bestemt produktkategori, når de leder efter et produkt der opfylder deres behov, så får de en tilsvarende afgrænset visning af produktkataloget."
"Kunde - Produktgennemsyn","Som kunde ønsker jeg at kunne se butikkens portefølje i kategorier med det formål bedst at kunne vælge det produkt der opfylder mit behov.","3 (yellow)",,
"1. User Story: Kunde - Produktgennemsyn,"Som kunde, Ønsker jeg at kunne se butikkens portefølje i kategorier, Med det formål bedst at kunne vælge det produkt, der opfylder mit behov.",3 (yellow),Tasks,"Implementer Razor Page, der kan fremvise alle produkter i en udvalgt kategori.",Opgave 2.","","",,
"UserStory 2","This is the User Story","2 (green)",,
,,,"Acceptance Criteria Header","Here is a Acceptance Criteria"
,,,"Tasks  Checklist Header","Here is a Task"
"UserStory 5","This is the User Story","5 (orange)",,
,,,"Acceptance Criteria Header","Here is a Acceptance Criteria"
,,,"Tasks  Checklist Header","Here is a Task"
"UserStory 3","This is the User Story","3 (yellow)",,
,,,"Acceptance Criteria Header","Here is a Acceptance Criteria"
,,,"Tasks  Checklist Header","Here is a Task"
"UserStory 1","This is the User Story","2 (green) 3 (yellow) 5 (orange) 8 (red) 1 (green_light)",,
,,,"Acceptance Criteria","Here is a Acceptance Criteria"
,,,"Tasks Header","Here is a Task"
"UserStory 1","This is the User Story","1 (green_light)",,
,,,"Acceptance Criteria Header","Here is a Acceptance Criteria"
,,,"Tasks  Checklist Header","Here is a Task"
"UserStory 8","This is the User Story","8 (red)",,
,,,"Acceptance Criteria Header","Here is a Acceptance Criteria"
,,,"Tasks  Checklist Header","Here is a Task"
"Bestyrer - Produktadministration","","",,
"Kunde - Ordreopfølgning","","",,
"Navigation i Profil (Kunde)","","",,
"Navigationsbar","As a useri want to be able to navigate the siteso i can see everything i want‌Storypoints - **xx**","",,
,,,"Tasks","Implement navigation bar design as in the paper mockup"
,,,"Acceptance Criteria","Must be placed in layout (as the top bar of the webpage)"
,,,,"Drop down menu for "Blomster" button"
,,,,"When logged in as a customer/undertaker the login button changes to customer/undertaker manager dropdown (contains "profile", "my orders", "logout")"
,,,,"Blomster binderiets logo in the far left of the navigation bar"
,,,,"Search bar is placed to the far right but before the basket- and user buttons"
,,,,"When visiting as a guest, a login button is placed in the right corner"
,,,,"Implement ALL buttons"
,,,,"When logged in as a admin the login button changes to admin manager dropdown (contains admin pages)"
"Design footer with links to static pages (about, faq, ect)","Storypoints - **xx**","",,
"Product page","As a customerI want to see all products availableSo I can chose a productStorypoints - **xx**","",,
,,,"Tasks","Navigate to product page (navbar link)"
,,,,"See all products avaliable (web page)"
,,,"Acceptance Criteria","Link navigates to product page"
,,,,"All products are shown in a grid like view"
,,,,"Pageination to f.x. 24 products pr page"
"See product details","As a customerI want to be able to see the specific products detailsSo i can be sure it is the right product for me‌Storypoints - **xx**","",,
,,,"Tasks","Create a product details page"
,,,,"Add link to product details on products in product page"
,,,"Acceptance Criteria","Large image of the product"
,,,,"Description of product"
,,,,"Button "Tilføj til kurv""
,,,,"Other versions links to other product page (different versions of same product is created as individual products)"
,,,,"Change amount field"
,,,,"Back to product catalog button"
,,,,""Tilføjet til kurv" under "Tilføj til kurv" when product is sucessfully added"
"Customer account sign up","As a customerI want to sign up and create an accountFor the purpose of in the future reduce amount of times i have to enter my details‌Storypoints - **xx**","",,
,,,"Acceptance Criteria","Visitors can enter sign up page"
,,,,"Users signed in can not enter sign up page"
,,,,"Visitors who attempt to sign up has an account created on the server"
,,,"Tasks","Sign up page (med form)"
,,,,"Make connection to "opret bruger" button on navbar"
"Customer account sign up confirmation","As a customerI want to get a confirmation when i registerBecause I want to know if i have done it right (or if someone uses my email)Storypoints - **xx**","",,
,,,"Acceptance Criteria","Email is sent (if possible)"
,,,,"When the customer successfully signs up a success message, on modal or different page, is shown"
,,,,"If something goes wrong (wrong email, name ect) an error message is shown"
,,,"Tasks","Confirmation to customer (email if possible)"
,,,,"Signup successful message"
"Sign in, sign out","As a customer i want to loginSo i wont have to enter my details againWith the purpose of not entering my details reduntdantlyStorypoints - **xx**","",,
,,,"Acceptance Criteria","User can log in"
,,,,"User can log out"
,,,"Tasks","Login using account username and password"
,,,,"Logout from the webshop"
"Add to basket","As a UserI want to add a product to my basketIn order to compile my orderStorypoints - **xx**","",,
,,,"Acceptance Criteria","See all order lines"
,,,,"Only see orderlines for YOUR OWN ORDER"
,,,"Tasks","Shows all products in the basket"
,,,,"Save orderlines somewhere so multiple users do not interfere with eachother"
"Basket N/A (not available) when visitor","As ownerI want the customer to be logged in to have access to the basketso I can avoid anonymous purchasesStorypoints - **xx**","",,
,,,"Acceptance Criteria","Given a visitor wants to add products to basket, when not logged in, then they will be prompted to log in."
,,,"Tasks","Redirect to log in when pushing the basket button "
,,,,"Redirect to log in when trying to add a product to basket"
"Check out (orders)","As a customerI want to create a order from my basketin order to purchase the productsStorypoints - **xx**","",,
,,,"Acceptance Criteria","Final order is added to the database"
,,,,"Send confirmation when order is added"
,,,,"Errors... lack of connection somewhere in communication line"
,,,,"Given that a basket is converted to Order, when purchasing the order, then the Order correctly reflects the basket"
,,,"Tasks","A Basket will be converted to a Order object"
"Admin create user","As an AdminI want to be able to create a new userin order to manage the websiteStorypoints - **xx**","",,
,,,"Tasks","A user create page with appropriate input fields"
,,,"Acceptance Criteria","Constraints"
,,,,"Given that an Admin creates user, when all necessary information and roles has been filled out, then the user is correctly created "
,,,,"Admin is able to navigate to the "opret bruger" page"
,,,,"Given a user is created successfully, when an Admin has created a user, then the system will notify the Admin"
"Employee all orders view page","As an employeeI want to be able to see all ordersSo i can get an overviewStorypoints - **xx**","",,
,,,"Acceptance Criteria","Given an employee enters page, when wanting to view all orders, then all orders that are not more than a week old is displayed"
,,,"Tasks","Create a see all orders-page"
,,,,"Page displays all orders from the last week as a standard"
"Employee review order","As a employeeI want to review new ordersSo I can accept or deny the orderStorypoints - **xx**","",,
,,,"Tasks","Make "Bekræft" button"
,,,,"Customer gets email notification when "Bekræft" button is pressed"
,,,,"Make "Afvis" button"
,,,,"Customer gets email notification when "Afvis" button is pressed"
,,,"Acceptance Criteria","Given that a order is accepted, when the employee presses "bekræft", then the order status is updated to "Approved""
,,,,"Given that a order is denied, when the employee presses "Afvis", then the order status is changed to "Denied""
,,,,"Given that an order is either changed approved or denied, when an order is reviewed, then the system sends an appropriate email to customer"
,,,,"An appropiate email, "Fuck you", when denying orders in bulk from same "customer" (nice to have)"
"Assign employee to an order","As an employeeI want to assign an order to myselfSo the responsibility for an order is divided.Storypoints - **xx**","",,
,,,"Tasks","An employee can update the status of an order to in progress and mark it as "theirs""
,,,"Acceptance Criteria","Only 1 can be assigned at a time per order"
,,,,"You can take an already assigned order"
